title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
3 bedroom detached duplex for sale,240000000.0,Alalubosa Main Gra,3.0,3.0,3.0,1,duplex,80000000.0,240000000.0
4 bedroom detached duplex for sale,170000000.0,Mkh City / Olunde Scheme Academy,4.0,4.0,4.0,1,duplex,42500000.0,170000000.0
3 bedroom detached bungalow for sale,25000000.0,Apata,3.0,3.0,3.0,1,bungalow,8333333.333333333,25000000.0
5 bedroom detached duplex for sale,200000000.0,New Bodija,5.0,5.0,5.0,1,duplex,40000000.0,200000000.0
4 bedroom detached duplex for sale,200000000.0,Akobo,4.0,4.0,4.0,1,duplex,50000000.0,200000000.0
4 bedroom detached bungalow for sale,220000000.0,Akobo,4.0,8.0,8.0,1,bungalow,55000000.0,220000000.0
4 bedroom detached duplex for sale,250000000.0,Off Bale Akintayo,4.0,4.0,4.0,1,duplex,62500000.0,250000000.0
4 bedroom detached duplex for sale,170000000.0,Ashi Bodija,4.0,4.0,4.0,1,duplex,42500000.0,170000000.0
5 bedroom detached duplex for sale,270000000.0,Akobo,5.0,5.0,5.0,1,duplex,54000000.0,270000000.0
Block of flats for sale,60000000.0,Oke Ado,4.0,4.0,4.0,1,apartment,15000000.0,60000000.0
4 bedroom detached duplex for sale,240000000.0,Akoto Estate Oluyole Extension,4.0,4.0,4.0,1,duplex,60000000.0,240000000.0
Block of flats for sale,110000000.0,New Bodija,4.0,4.0,4.0,1,apartment,27500000.0,110000000.0
5 bedroom detached duplex for sale,140000000.0,Akala Express,5.0,6.0,7.0,1,duplex,28000000.0,140000000.0
3 bedroom detached duplex for sale,50000000.0,Oyo,3.0,3.0,4.0,1,duplex,16666666.666666666,50000000.0
5 bedroom detached duplex for sale,100000000.0,Ojoo,5.0,5.0,5.0,1,duplex,20000000.0,100000000.0
4 bedroom detached bungalow for sale,25000000.0,Akobo,4.0,4.0,4.0,1,bungalow,6250000.0,25000000.0
Block of flats for sale,70000000.0,Ring Road,4.0,4.0,4.0,1,apartment,17500000.0,70000000.0
